Week,Price,Sales,Remaining Inventory,Run,Your Revenue,Perfect Revenue,Difference (%)
15,48,154,52,45,95406,96984,1.6
1,60,97,1903,46,97956,105252,6.9
2,54,132,1771,46,97956,105252,6.9
3,48,177,1594,46,97956,105252,6.9
4,48,243,1351,46,97956,105252,6.9
5,48,105,1246,46,97956,105252,6.9
6,48,176,1070,46,97956,105252,6.9
7,48,177,893,46,97956,105252,6.9
8,48,198,695,46,97956,105252,6.9
9,48,220,475,46,97956,105252,6.9
10,48,117,358,46,97956,105252,6.9
11,48,130,228,46,97956,105252,6.9
12,48,169,59,46,97956,105252,6.9
13,48,59,0,46,97956,105252,6.9
14,48,0,0,46,97956,105252,6.9
15,48,0,0,46,97956,105252,6.9
1,60,42,1958,47,50202,60156,16.5
2,54,35,1923,47,50202,60156,16.5
3,48,87,1836,47,50202,60156,16.5
4,48,115,1721,47,50202,60156,16.5
5,48,74,1647,47,50202,60156,16.5
6,48,73,1574,47,50202,60156,16.5
7,48,42,1532,47,50202,60156,16.5
8,48,85,1447,47,50202,60156,16.5
9,48,92,1355,47,50202,60156,16.5
10,48,85,1270,47,50202,60156,16.5
11,48,39,1231,47,50202,60156,16.5
12,48,63,1168,47,50202,60156,16.5
13,48,75,1093,47,50202,60156,16.5
14,48,35,1058,47,50202,60156,16.5
15,48,89,969,47,50202,60156,16.5
1,60,108,1892,48,98442,110418,10.8
2,54,191,1701,48,98442,110418,10.8
3,48,136,1565,48,98442,110418,10.8
4,48,122,1443,48,98442,110418,10.8
5,48,182,1261,48,98442,110418,10.8
6,48,208,1053,48,98442,110418,10.8
7,48,229,824,48,98442,110418,10.8
8,48,327,497,48,98442,110418,10.8
9,48,248,249,48,98442,110418,10.8
10,48,104,145,48,98442,110418,10.8
11,48,145,0,48,98442,110418,10.8
12,48,0,0,48,98442,110418,10.8
13,48,0,0,48,98442,110418,10.8
14,48,0,0,48,98442,110418,10.8
15,48,0,0,48,98442,110418,10.8
1,60,92,1908,49,97860,102852,4.9
2,54,126,1782,49,97860,102852,4.9
3,48,221,1561,49,97860,102852,4.9
4,48,120,1441,49,97860,102852,4.9
5,48,166,1275,49,97860,102852,4.9
6,48,157,1118,49,97860,102852,4.9
7,48,172,946,49,97860,102852,4.9
8,48,161,785,49,97860,102852,4.9
9,48,125,660,49,97860,102852,4.9
10,48,197,463,49,97860,102852,4.9
11,48,136,327,49,97860,102852,4.9
12,48,183,144,49,97860,102852,4.9
13,48,144,0,49,97860,102852,4.9
14,48,0,0,49,97860,102852,4.9
15,48,0,0,49,97860,102852,4.9
1,60,91,1909,50,98004,105690,7.3
2,54,152,1757,50,98004,105690,7.3
3,48,136,1621,50,98004,105690,7.3
4,48,209,1412,50,98004,105690,7.3
5,48,145,1267,50,98004,105690,7.3
6,48,146,1121,50,98004,105690,7.3
7,48,161,960,50,98004,105690,7.3
8,48,177,783,50,98004,105690,7.3
9,48,206,577,50,98004,105690,7.3
10,48,183,394,50,98004,105690,7.3
11,48,192,202,50,98004,105690,7.3
12,48,171,31,50,98004,105690,7.3
13,48,31,0,50,98004,105690,7.3
14,48,0,0,50,98004,105690,7.3
15,48,0,0,50,98004,105690,7.3
