Week,Price,Sales,Remaining Inventory,Run,Your Revenue,Perfect Revenue,Difference (%)
15,48,109,112,9,92070,94248,2.3
1,60,155,1845,10,98718,120000,17.7
2,54,143,1702,10,98718,120000,17.7
3,48,240,1462,10,98718,120000,17.7
4,48,273,1189,10,98718,120000,17.7
5,48,281,908,10,98718,120000,17.7
6,48,260,648,10,98718,120000,17.7
7,48,304,344,10,98718,120000,17.7
8,48,245,99,10,98718,120000,17.7
9,48,99,0,10,98718,120000,17.7
10,48,0,0,10,98718,120000,17.7
11,48,0,0,10,98718,120000,17.7
12,48,0,0,10,98718,120000,17.7
13,48,0,0,10,98718,120000,17.7
14,48,0,0,10,98718,120000,17.7
15,48,0,0,10,98718,120000,17.7
1,60,71,1929,11,93726,94740,1.1
2,54,95,1834,11,93726,94740,1.1
3,48,102,1732,11,93726,94740,1.1
4,48,85,1647,11,93726,94740,1.1
5,48,130,1517,11,93726,94740,1.1
6,48,91,1426,11,93726,94740,1.1
7,48,82,1344,11,93726,94740,1.1
8,48,233,1111,11,93726,94740,1.1
9,48,57,1054,11,93726,94740,1.1
10,48,150,904,11,93726,94740,1.1
11,48,224,680,11,93726,94740,1.1
12,48,166,514,11,93726,94740,1.1
13,48,128,386,11,93726,94740,1.1
14,48,143,243,11,93726,94740,1.1
15,48,166,77,11,93726,94740,1.1
1,60,74,1926,12,85026,89304,4.8
2,54,63,1863,12,85026,89304,4.8
3,48,122,1741,12,85026,89304,4.8
4,48,137,1604,12,85026,89304,4.8
5,48,136,1468,12,85026,89304,4.8
6,48,113,1355,12,85026,89304,4.8
7,48,124,1231,12,85026,89304,4.8
8,48,180,1051,12,85026,89304,4.8
9,48,154,897,12,85026,89304,4.8
10,48,57,840,12,85026,89304,4.8
11,48,88,752,12,85026,89304,4.8
12,48,128,624,12,85026,89304,4.8
13,48,121,503,12,85026,89304,4.8
14,48,144,359,12,85026,89304,4.8
15,48,104,255,12,85026,89304,4.8
1,60,102,1898,13,97830,106404,8.1
2,54,101,1797,13,97830,106404,8.1
3,48,97,1700,13,97830,106404,8.1
4,48,165,1535,13,97830,106404,8.1
5,48,135,1400,13,97830,106404,8.1
6,48,124,1276,13,97830,106404,8.1
7,48,219,1057,13,97830,106404,8.1
8,48,96,961,13,97830,106404,8.1
9,48,180,781,13,97830,106404,8.1
10,48,206,575,13,97830,106404,8.1
11,48,192,383,13,97830,106404,8.1
12,48,155,228,13,97830,106404,8.1
13,48,228,0,13,97830,106404,8.1
14,48,0,0,13,97830,106404,8.1
15,48,0,0,13,97830,106404,8.1
1,60,72,1928,14,84120,88632,5.1
2,54,84,1844,14,84120,88632,5.1
3,48,140,1704,14,84120,88632,5.1
4,48,126,1578,14,84120,88632,5.1
5,48,113,1465,14,84120,88632,5.1
6,48,85,1380,14,84120,88632,5.1
7,48,124,1256,14,84120,88632,5.1
8,48,40,1216,14,84120,88632,5.1
9,48,70,1146,14,84120,88632,5.1
10,48,123,1023,14,84120,88632,5.1
11,48,159,864,14,84120,88632,5.1
12,48,149,715,14,84120,88632,5.1
13,48,107,608,14,84120,88632,5.1
14,48,180,428,14,84120,88632,5.1
15,48,152,276,14,84120,88632,5.1
1,60,105,1895,15,98058,104130,5.8
2,54,133,1762,15,98058,104130,5.8
3,48,58,1704,15,98058,104130,5.8
4,48,146,1558,15,98058,104130,5.8
5,48,137,1421,15,98058,104130,5.8
6,48,237,1184,15,98058,104130,5.8
7,48,193,991,15,98058,104130,5.8
8,48,160,831,15,98058,104130,5.8
9,48,166,665,15,98058,104130,5.8
10,48,130,535,15,98058,104130,5.8
11,48,179,356,15,98058,104130,5.8
12,48,215,141,15,98058,104130,5.8
13,48,123,18,15,98058,104130,5.8
14,48,18,0,15,98058,104130,5.8
15,48,0,0,15,98058,104130,5.8
1,60,141,1859,16,98508,120000,17.9
2,54,136,1723,16,98508,120000,17.9
3,48,352,1371,16,98508,120000,17.9
4,48,229,1142,16,98508,120000,17.9
5,48,187,955,16,98508,120000,17.9
6,48,301,654,16,98508,120000,17.9
7,48,179,475,16,98508,120000,17.9
8,48,203,272,16,98508,120000,17.9
9,48,250,22,16,98508,120000,17.9
10,48,22,0,16,98508,120000,17.9
11,48,0,0,16,98508,120000,17.9
12,48,0,0,16,98508,120000,17.9
13,48,0,0,16,98508,120000,17.9
14,48,0,0,16,98508,120000,17.9
15,48,0,0,16,98508,120000,17.9
1,60,72,1928,17,93198,94230,1.1
2,54,85,1843,17,93198,94230,1.1
3,48,98,1745,17,93198,94230,1.1
4,48,181,1564,17,93198,94230,1.1
5,48,129,1435,17,93198,94230,1.1
6,48,179,1256,17,93198,94230,1.1
7,48,154,1102,17,93198,94230,1.1
8,48,100,1002,17,93198,94230,1.1
9,48,114,888,17,93198,94230,1.1
10,48,115,773,17,93198,94230,1.1
11,48,99,674,17,93198,94230,1.1
12,48,91,583,17,93198,94230,1.1
13,48,110,473,17,93198,94230,1.1
14,48,211,262,17,93198,94230,1.1
15,48,175,87,17,93198,94230,1.1
1,60,119,1881,18,98256,117696,16.5
2,54,138,1743,18,98256,117696,16.5
3,48,220,1523,18,98256,117696,16.5
4,48,223,1300,18,98256,117696,16.5
5,48,212,1088,18,98256,117696,16.5
6,48,184,904,18,98256,117696,16.5
7,48,279,625,18,98256,117696,16.5
8,48,79,546,18,98256,117696,16.5
9,48,319,227,18,98256,117696,16.5
10,48,204,23,18,98256,117696,16.5
11,48,23,0,18,98256,117696,16.5
12,48,0,0,18,98256,117696,16.5
13,48,0,0,18,98256,117696,16.5
14,48,0,0,18,98256,117696,16.5
15,48,0,0,18,98256,117696,16.5
1,60,54,1946,19,72354,80256,9.8
2,54,47,1899,19,72354,80256,9.8
3,48,142,1757,19,72354,80256,9.8
4,48,66,1691,19,72354,80256,9.8
5,48,124,1567,19,72354,80256,9.8
6,48,109,1458,19,72354,80256,9.8
7,48,67,1391,19,72354,80256,9.8
8,48,116,1275,19,72354,80256,9.8
9,48,114,1161,19,72354,80256,9.8
10,48,99,1062,19,72354,80256,9.8
11,48,119,943,19,72354,80256,9.8
12,48,115,828,19,72354,80256,9.8
13,48,24,804,19,72354,80256,9.8
14,48,128,676,19,72354,80256,9.8
15,48,164,512,19,72354,80256,9.8
1,60,64,1936,20,80460,86052,6.5
2,54,90,1846,20,80460,86052,6.5
3,48,150,1696,20,80460,86052,6.5
4,48,76,1620,20,80460,86052,6.5
5,48,132,1488,20,80460,86052,6.5
6,48,148,1340,20,80460,86052,6.5
7,48,90,1250,20,80460,86052,6.5
8,48,100,1150,20,80460,86052,6.5
9,48,84,1066,20,80460,86052,6.5
10,48,142,924,20,80460,86052,6.5
11,48,90,834,20,80460,86052,6.5
12,48,85,749,20,80460,86052,6.5
13,48,128,621,20,80460,86052,6.5
14,48,125,496,20,80460,86052,6.5
15,48,145,351,20,80460,86052,6.5
1,60,96,1904,21,97842,108522,9.8
2,54,115,1789,21,97842,108522,9.8
3,48,210,1579,21,97842,108522,9.8
4,48,176,1403,21,97842,108522,9.8
